"filename", "language", "JSON", "XML", "PHP", "JavaScript", "CSS", "Markdown", "comment", "blank", "total"
"c:\Users\Usuario\Desktop\tcc-schengenrs\back-end_tcc_schengers-api\lang\en\pagination.php", "PHP", 0, 0, 5, 0, 0, 0, 10, 5, 20
"c:\Users\Usuario\Desktop\tcc-schengenrs\back-end_tcc_schengers-api\lang\en\passwords.php", "PHP", 0, 0, 8, 0, 0, 0, 10, 5, 23
"c:\Users\Usuario\Desktop\tcc-schengenrs\back-end_tcc_schengers-api\lang\en\validation.php", "PHP", 0, 0, 162, 0, 0, 0, 30, 9, 201
"c:\Users\Usuario\Desktop\tcc-schengenrs\back-end_tcc_schengers-api\lang\pt-BR\validation.php", "PHP", 0, 0, 76, 0, 0, 0, 0, 4, 80
"c:\Users\Usuario\Desktop\tcc-schengenrs\back-end_tcc_schengers-api\package.json", "JSON", 17, 0, 0, 0, 0, 0, 0, 1, 18
"c:\Users\Usuario\Desktop\tcc-schengenrs\back-end_tcc_schengers-api\phpunit.xml", "XML", 0, 35, 0, 0, 0, 0, 0, 1, 36
"c:\Users\Usuario\Desktop\tcc-schengenrs\back-end_tcc_schengers-api\public\index.php", "PHP", 0, 0, 10, 0, 0, 0, 4, 7, 21
"c:\Users\Usuario\Desktop\tcc-schengenrs\back-end_tcc_schengers-api\resources\css\app.css", "CSS", 0, 0, 0, 0, 9, 0, 0, 3, 12
"c:\Users\Usuario\Desktop\tcc-schengenrs\back-end_tcc_schengers-api\resources\js\app.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 1, 2
"c:\Users\Usuario\Desktop\tcc-schengenrs\back-end_tcc_schengers-api\resources\js\bootstrap.js", "JavaScript", 0, 0, 0, 3, 0, 0, 0, 2, 5
"c:\Users\Usuario\Desktop\tcc-schengenrs\back-end_tcc_schengers-api\resources\views\emails\reset-password.blade.php", "PHP", 0, 0, 42, 0, 0, 0, 0, 8, 50
"c:\Users\Usuario\Desktop\tcc-schengenrs\back-end_tcc_schengers-api\resources\views\emails\teacher_approved.blade.php", "PHP", 0, 0, 67, 0, 0, 0, 0, 14, 81
"c:\Users\Usuario\Desktop\tcc-schengenrs\back-end_tcc_schengers-api\routes\api.php", "PHP", 0, 0, 116, 0, 0, 0, 1, 47, 164
"c:\Users\Usuario\Desktop\tcc-schengenrs\back-end_tcc_schengers-api\routes\console.php", "PHP", 0, 0, 6, 0, 0, 0, 0, 3, 9
"c:\Users\Usuario\Desktop\tcc-schengenrs\back-end_tcc_schengers-api\routes\web.php", "PHP", 0, 0, 10, 0, 0, 0, 0, 4, 14
"c:\Users\Usuario\Desktop\tcc-schengenrs\back-end_tcc_schengers-api\tests\Feature\ExampleTest.php", "PHP", 0, 0, 11, 0, 0, 0, 4, 5, 20
"c:\Users\Usuario\Desktop\tcc-schengenrs\back-end_tcc_schengers-api\tests\TestCase.php", "PHP", 0, 0, 6, 0, 0, 0, 1, 4, 11
"c:\Users\Usuario\Desktop\tcc-schengenrs\back-end_tcc_schengers-api\tests\Unit\ExampleTest.php", "PHP", 0, 0, 10, 0, 0, 0, 3, 4, 17
"c:\Users\Usuario\Desktop\tcc-schengenrs\back-end_tcc_schengers-api\vite.config.js", "JavaScript", 0, 0, 0, 17, 0, 0, 0, 2, 19
"Total", "-", 8580, 35, 4491, 21, 9, 39, 1062, 1265, 15502
